[2026-04-01T21:11:45.458Z] GET http://localhost:4322/src/components/sections/ContactSection.module.css → 200 (82ms, 5708B)
[2026-04-01T21:11:45.458Z] GET http://localhost:4322/src/components/common/Modal.module.css → 200 (83ms, 2349B)
[2026-04-01T21:11:45.459Z] GET http://localhost:4322/src/components/common/SelectInput.module.css → 200 (83ms, 2178B)
[2026-04-01T21:11:45.459Z] GET http://localhost:4322/src/components/layout/Footer.module.css → 200 (84ms, 840B)
[2026-04-01T21:11:45.459Z] GET http://localhost:4322/src/components/layout/SectionHeader.module.css → 200 (84ms, 959B)
[2026-04-01T21:11:45.459Z] GET http://localhost:4322/src/components/blocks/panels/ImagePanel.module.css → 200 (85ms, 1604B)
[2026-04-01T21:11:45.459Z] GET http://localhost:4322/src/components/blocks/panels/AccordionPanel.module.css → 200 (89ms, 2646B)
[2026-04-01T21:11:45.459Z] GET http://localhost:4322/src/components/common/PlusSymbol.module.css → 200 (127ms, 1834B)
[2026-04-01T21:11:45.459Z] GET http://localhost:4322/src/components/blocks/block/Block.module.css → 200 (127ms, 1902B)
[2026-04-01T21:11:45.459Z] GET http://localhost:4322/src/components/common/Buffer.module.css → 200 (127ms, 711B)
[2026-04-01T21:11:45.470Z] GET http://localhost:4322/@id/astro:scripts/before-hydration.js → 200 (112ms, 988B)
[2026-04-01T21:11:45.470Z] GET http://localhost:4322/@fs/Users/jonathanspooner/Projects/website/src/assets/images/stacks-logo.png?origWidth=3864&origHeight=337&origFormat=png → 200 (103ms, 50114B)
[2026-04-01T21:11:45.470Z] GET http://localhost:4322/@fs/Users/jonathanspooner/Projects/website/src/assets/images/back-arrow.svg?origWidth=20&origHeight=18&origFormat=svg → 200 (109ms, 912B)
[2026-04-01T21:11:45.475Z] GET http://localhost:4322/@fs/Users/jonathanspooner/Projects/website/src/assets/images/light-curriculum.png?origWidth=3407&origHeight=3407&origFormat=png → 200 (101ms, ?B)
[2026-04-01T21:11:45.475Z] GET http://localhost:4322/@fs/Users/jonathanspooner/Projects/website/src/assets/images/curriculum-page-1.png?origWidth=570&origHeight=427&origFormat=png → 200 (101ms, 460607B)
[2026-04-01T21:11:45.477Z] GET http://localhost:4322/@fs/Users/jonathanspooner/Projects/website/src/assets/images/wiring-curriculum.png?origWidth=920&origHeight=920&origFormat=png → 200 (100ms, 1253307B)
[2026-04-01T21:11:45.477Z] GET http://localhost:4322/@fs/Users/jonathanspooner/Projects/website/src/assets/images/contact-image.png?origWidth=620&origHeight=270&origFormat=png → 200 (102ms, 457395B)
[2026-04-01T21:11:45.477Z] GET http://localhost:4322/@fs/Users/jonathanspooner/Projects/website/src/assets/images/location-icon.svg?origWidth=20&origHeight=21&origFormat=svg → 200 (102ms, 949B)
[2026-04-01T21:11:45.477Z] GET http://localhost:4322/@fs/Users/jonathanspooner/Projects/website/src/assets/images/phone-icon.svg?origWidth=20&origHeight=21&origFormat=svg → 200 (103ms, 1514B)
[2026-04-01T21:11:45.532Z] GET http://localhost:4322/fonts/inter-latin-400-normal.woff2 → 200 (11ms, 23692B)
[2026-04-01T21:11:45.533Z] GET http://localhost:4322/fonts/inter-latin-700-normal.woff2 → 200 (11ms, 24352B)
[2026-04-01T21:11:45.535Z] GET http://localhost:4322/fonts/inter-latin-600-normal.woff2 → 200 (14ms, 24304B)
[2026-04-01T21:11:45.535Z] GET http://localhost:4322/fonts/MontaguSlab_120pt-Bold.ttf → 200 (41ms, 136136B)
[2026-04-01T21:11:45.535Z] GET http://localhost:4322/@fs/Users/jonathanspooner/Projects/website/src/assets/images/wrenchbolt.svg?origWidth=41&origHeight=40&origFormat=svg → 200 (47ms, 1542B)
[2026-04-01T21:11:45.541Z] GET http://localhost:4322/node_modules/vite/dist/client/env.mjs → 200 (46ms, 4586B)
[2026-04-01T21:11:45.541Z] GET http://localhost:4322/@id/__x00__astro:toolbar:internal → 200 (46ms, 8955B)
[2026-04-01T21:11:45.541Z] GET http://localhost:4322/node_modules/astro/dist/runtime/client/dev-toolbar/helpers.js?v=3afa04c6 → 200 (46ms, 14267B)
[2026-04-01T21:11:45.541Z] GET http://localhost:4322/node_modules/astro/dist/runtime/client/dev-toolbar/settings.js?v=3afa04c6 → 200 (48ms, 7936B)
[2026-04-01T21:11:45.590Z] GET http://localhost:4322/@react-refresh → 200 (10ms, 113132B)
[2026-04-01T21:11:45.595Z] GET http://localhost:4322/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/window.js?v=3afa04c6 → 200 (21ms, 19284B)
[2026-04-01T21:11:45.618Z] GET http://localhost:4322/node_modules/astro/dist/runtime/client/dev-toolbar/apps/astro.js?v=3afa04c6 → 200 (3ms, 109029B)
